Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Love Actually,R,2003,59.7,"['Comedy', ' Drama', ' Romance']",135,7.6,413989.0,45.0
Love and Death,PG,1975,0.0,"['Comedy', ' War']",85,7.7,0.0,3.0
Lucky Number Slevin,R,2006,22.49,"['Crime', ' Drama', ' Mystery']",110,7.7,295960.0,27.0
Mad Max 2: The Road Warrior,R,1981,12.47,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,162490.0,2.0
Mad Max: Fury Road,R,2015,154.06,"['Action', ' Adventure', ' Sci-Fi']",120,8.1,848679.0,150.0
Magnolia,R,1999,22.46,['Drama'],188,8.0,283085.0,37.0
Malcolm X,PG-13,1992,48.17,"['Biography', ' Drama', ' History']",202,7.7,82626.0,35.0
Man on Fire,R,2004,77.91,"['Action', ' Crime', ' Drama']",146,7.7,322167.0,60.0
Manchester by the Sea,R,2016,47.7,['Drama'],137,7.8,236197.0,8.5
Mary Poppins,G,1964,102.27,"['Comedy', ' Family', ' Fantasy']",139,7.8,153350.0,6.0
Match Point,R,2005,23.09,"['Drama', ' Romance', ' Thriller']",124,7.6,201835.0,15.0
Me and Earl and the Dying Girl,PG-13,2015,6.74,"['Comedy', ' Drama']",105,7.7,119816.0,8.0
Memento,R,2000,25.54,"['Mystery', ' Thriller']",113,8.4,1090872.0,5.0
Midnight Cowboy,R,1969,44.79,['Drama'],113,7.8,97884.0,3.6
Midnight in Paris,PG-13,2011,56.82,"['Comedy', ' Fantasy', ' Romance']",94,7.7,376906.0,30.0
Million Dollar Baby,PG-13,2004,100.49,"['Drama', ' Sport']",132,8.1,619353.0,30.0
Minority Report,PG-13,2002,132.07,"['Action', ' Crime', ' Mystery']",145,7.6,495849.0,102.0
Moana,PG,2016,248.76,"['Animation', ' Adventure', ' Comedy']",107,7.6,256590.0,150.0
Modern Times,G,1936,0.16,"['Comedy', ' Drama', ' Family']",87,8.5,209195.0,1.5
Mommy,R,2014,3.49,['Drama'],139,8.1,48111.0,4.9
Moneyball,PG-13,2011,75.61,"['Biography', ' Drama', ' Sport']",133,7.6,350903.0,50.0
"Monsters, Inc.",G,2001,289.92,"['Animation', ' Adventure', ' Comedy']",92,8.0,790202.0,115.0
Monty Python and the Holy Grail,PG,1975,1.23,"['Adventure', ' Comedy', ' Fantasy']",91,8.2,488740.0,0.4
Moon,R,2009,5.01,"['Drama', ' Mystery', ' Sci-Fi']",97,7.9,327799.0,5.0
Moonrise Kingdom,PG-13,2012,45.51,"['Comedy', ' Drama', ' Romance']",94,7.8,309510.0,16.0
Mr. Nobody,R,2009,0.0,"['Drama', ' Fantasy', ' Romance']",141,7.8,210415.0,46.5
Mulan,G,1998,120.62,"['Animation', ' Adventure', ' Family']",88,7.6,242335.0,90.0
Mustang,PG-13,2015,0.85,['Drama'],97,7.6,34220.0,1.4
My Cousin Vinny,R,1992,52.93,"['Comedy', ' Crime']",120,7.6,102954.0,11.0
My Fair Lady,G,1964,72.0,"['Drama', ' Family', ' Musical']",170,7.8,84260.0,17.0
Mystic River,R,2003,90.14,"['Crime', ' Drama', ' Mystery']",138,7.9,409180.0,30.0
The Girl with the Dragon Tattoo,R,2009,10.1,"['Crime', ' Drama', ' Mystery']",152,7.8,205319.0,90.0
The Girl with the Dragon Tattoo,R,2011,102.52,"['Crime', ' Drama', ' Mystery']",158,7.8,409184.0,90.0
Nebraska,R,2013,17.65,"['Adventure', ' Comedy', ' Drama']",115,7.7,110070.0,12.0
Network,R,1976,0.0,['Drama'],121,8.1,0.0,3.8
Night on Earth,R,1991,2.02,"['Comedy', ' Drama']",129,7.8,53639.0,2.0
Nightcrawler,R,2014,32.38,"['Crime', ' Drama', ' Thriller']",117,7.9,444016.0,8.5
No Country for Old Men,R,2007,74.28,"['Crime', ' Drama', ' Thriller']",122,8.1,823752.0,25.0
No Man's Land,R,2001,1.06,"['Comedy', ' Drama', ' War']",98,7.9,43777.0,1.0
"O Brother, Where Art Thou?",PG-13,2000,45.51,"['Adventure', ' Comedy', ' Crime']",107,7.7,277406.0,26.0
Ocean's Eleven,PG-13,2001,183.42,"['Crime', ' Thriller']",116,7.7,501199.0,85.0
Office Space,R,1999,10.82,['Comedy'],89,7.7,236507.0,10.0
Oldboy,R,2003,0.71,"['Action', ' Drama', ' Mystery']",120,8.4,497001.0,3.0
Once,R,2007,9.44,"['Drama', ' Music', ' Romance']",86,7.8,108673.0,0.15
Once Upon a Time in America,R,1984,5.32,"['Crime', ' Drama']",229,8.4,299670.0,30.0
One Flew Over the Cuckoo's Nest,R,1975,112.0,['Drama'],133,8.7,885271.0,4.4
Only the Brave,PG-13,2017,18.34,"['Action', ' Biography', ' Drama']",134,7.6,54104.0,38.0
Ordinary People,R,1980,54.8,['Drama'],124,7.7,45283.0,6.0
Patton,GP,1970,61.7,"['Biography', ' Drama', ' War']",172,7.9,91965.0,12.0
Persepolis,PG-13,2007,4.45,"['Animation', ' Biography', ' Drama']",96,8.0,86522.0,7.3
Philadelphia,PG-13,1993,77.32,['Drama'],125,7.7,218309.0,26.0
Philomena,PG-13,2013,37.71,"['Biography', ' Comedy', ' Drama']",98,7.6,92376.0,12.0
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003,305.41,"['Action', ' Adventure', ' Fantasy']",143,8.0,997630.0,140.0
Planet of the Apes,G,1968,33.4,"['Adventure', ' Sci-Fi']",112,8.0,162123.0,100.0
Planet of the Apes,G,1968,33.4,"['Adventure', ' Sci-Fi']",112,8.0,162123.0,5.8
Platoon,R,1986,138.53,"['Drama', ' War']",120,8.1,371126.0,6.0
Predator,R,1987,59.74,"['Action', ' Adventure', ' Sci-Fi']",107,7.8,362629.0,18.0
